Variable Name,OriginalSource,DatabaseName,TableName,ColumnName,ColumnDefinition,IsPrimaryKey,IsForeignKey,ReferenceField,SQLFieldType,MissingData,DataSourceLastUpdated,DataQuality
Title,Dimensions,merged_pvga,merged_pvga,Title,Title of the article (from Dimensions),FALSE,FALSE,NULL,VARCHAR,NULL,01/04/2021,NULL
DOI,Dimensions,merged_pvga,merged_pvga,DOI,Unique Digital Identifier for each article (from Dimensions),TRUE,FALSE,NULL,VARCHAR,NULL,01/04/2021,NULL
Publication.Date,Dimensions,merged_pvga,merged_pvga,Publication.Date,Date article was published (from Dimensions),FALSE,FALSE,NULL,VARCHAR,NULL,01/04/2021,NULL
PubYear,Dimensions,merged_pvga,merged_pvga,PubYear,Year article was published (from Dimensions),FALSE,FALSE,NULL,YEAR,NULL,01/04/2021,NULL
Source.title,Dimensions,merged_pvga,merged_pvga,Source.title,Journal article was published in (from Dimensions),FALSE,FALSE,NULL,VARCHAR,NULL,01/04/2021,NULL
Publisher,Dimensions,merged_pvga,merged_pvga,Publisher,Publisher who owns the journal article was published in (from Dimensions),FALSE,FALSE,NULL,VARCHAR,"192 observations missing value in Dimensions, no clear pattern to missing values",01/04/2021,NULL
ISSN,Dimensions,merged_pvga,merged_pvga,ISSN,An International Standard Serial Number is an eight-digit serial number used to uniquely identify a serial publication (in our case normally an academic journal) (from Dimensions),FALSE,FALSE,NULL,VARCHAR,"32385 observations missing value in Dimensions. Most of these are in fully OA journals so it is likely the majority of missing values are online only articles and so don't have a print ISSN, though for others Dimensions probably just didn't capture the ISSN",01/04/2021,NULL
e.ISSN,Dimensions,merged_pvga,merged_pvga,e.ISSN,"e-ISSN (or eISSN) is a standard label for ""Electronic ISSN"", the ISSN for the electronic media (online) version of a serial (in our case normally an academic journal) (from Dimensions)",FALSE,FALSE,NULL,VARCHAR,3490 observations missing value in Dimensions. No clear pattern to why missing - it may be that some don't have an e-ISSN but probably Dimensions just wasn't able to capture it,01/04/2021,NULL
Publication.Type,Dimensions,merged_pvga,merged_pvga,Publication.Type,"The type of publication - either ""article"" or ""proceeding"" since other types were filtered out (from Dimensions)",FALSE,FALSE,NULL,VARCHAR,NULL,01/04/2021,NULL
Country.of.Research.organization,Dimensions,merged_pvga,merged_pvga,Country.of.Research.organization,The countries associated with the institutions linked to the article (i.e. where the authors are employed) (from Dimensions),FALSE,FALSE,NULL,VARCHAR,"9908 observations missing value in Dimensions, no clear pattern to missing values",01/04/2021,Derived from Dimensions machine learning (not perfect)
Research.Organizations…standardized,Dimensions,merged_pvga,merged_pvga,Research.Organizations…standardized,The UK-based research organisations associated with article (doesn't include non-UK based),FALSE,FALSE,NULL,VARCHAR,15022,11/07/2021,Derived from Dimensions machine learning (not perfect)
FOR…ANZSRC..Categories,Dimensions,merged_pvga,merged_pvga,FOR…ANZSRC..Categories,Fields of Research (FOR) is the subject classification used by UKRI. This variable contains codes for subjects (FOR Divisions) and also specialisms (FOR groups). Dimensions derives it using machine learning. (from Dimensions) https://bit.ly/33Xynz2,FALSE,FALSE,NULL,VARCHAR,"2020 observations missing value in Dimensions, no clear pattern to missing values",01/04/2021,Derived from Dimensions machine learning (not perfect)
for_division,Dimensions,merged_pvga,merged_pvga,for_division,The subject (FOR division) linked to the article. We derived this variable from FOR…ANZSRC..Categories (from Dimensions).,FALSE,FALSE,NULL,VARCHAR,"2020 observations recorded as ""Missing"". All of these missing because parent variable (FOR…ANZSRC..Categories) is missing",01/04/2021,Derived from Dimensions machine learning (not perfect)
